('Basic Average Shares', '15,236,773.25', '15,343,783.00', '15,744,231.00', '16,215,963.00', '16,701,272.00')
         786083 function calls (761968 primitive calls) in 1.314 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1313    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1313    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1312    0.000    0.000    0.000    0.000 _connection.py:212(their_state)
 1281/915    0.000    0.000    0.001    0.000 {built-in method builtins.hash}
     1206    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     1190    0.000    0.000    0.000    0.000 filter.py:292(matches_string)
     1171    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
 1136/195    0.005    0.000    0.060    0.000 _parser.py:452(_parse_sub)
     1103    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
     1045    0.003    0.000    0.003    0.000 {built-in method posix.stat}
     1045    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1032    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
     1014    0.001    0.000    0.001    0.000 _parser.py:312(_class_escape)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      856    0.000    0.000    0.001    0.000 {built-in method fromkeys}
      836    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      829    0.000    0.000    0.001    0.000 contextlib.py:299(helper)
      829    0.001    0.000    0.001    0.000 contextlib.py:104(__init__)
      829    0.000    0.000    0.001    0.000 contextlib.py:132(__enter__)
      828    0.000    0.000    0.001    0.000 contextlib.py:141(__exit__)
      816    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
      767    0.001    0.000    0.001    0.000 _parser.py:372(_escape)
      767    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      752    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
      745    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      745    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      729    0.002    0.000    0.005    0.000 {method 'sub' of 're.Pattern' objects}
      712    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
      703    0.000    0.000    0.001    0.000 filter.py:623(_match_attribute_value_helper)
      693    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
      693    0.005    0.000    0.008    0.000 _compiler.py:243(_optimize_charset)
  675/669    0.007    0.000    0.056    0.000 {built-in method builtins.__build_class__}
      657    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      649    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      643    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      627    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      622    0.000    0.000    0.001    0.000 {method 'extend' of 'list' objects}
      612    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      612    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      573    0.000    0.000    0.000    0.000 ssl.py:1083(_checkClosed)
      572    0.000    0.000    0.000    0.000 _receivebuffer.py:60(__len__)
      556    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
      553    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
  540/333    0.000    0.000    0.000    0.000 typing.py:1258(__hash__)
      540    0.000    0.000    0.001    0.000 enum.py:850(__setattr__)
      531    0.001    0.000    0.003    0.000 _connection.py:398(_extract_next_receive_event)
      531    0.001    0.000    0.006    0.000 _connection.py:426(next_event)
   529/12    0.001    0.000    0.243    0.020 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      526    0.000    0.000    0.000    0.000 _receivebuffer.py:77(maybe_extract_at_most)
      513    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
      513    0.000    0.000    0.001    0.000 enum.py:726(__call__)
  512/511    0.001    0.000    0.002    0.000 _readers.py:157(__call__)
      501    0.001    0.000    0.003    0.000 typing.py:175(_type_check)
      501    0.000    0.000    0.000    0.000 element.py:2160(get)
      487    0.000    0.000    0.000    0.000 _decoders.py:237(decode)
      479    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      475    0.003    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
      475    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      472    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      454    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
      447    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      446    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      446    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
